;Gemeente;30/03/2020;29/03/2020;28/03/2020;27/03/2020;26/03/2020;25/03/2020;24/03/2020;23/03/2020;22/03/2020;21/03/2020;20/03/2020;19/03/2020;18/03/2020;17/03/2020;16/03/2020;15/03/2020;14/03/2020;13/03/2020;12/03/2020;11/03/2020;10/03/2020;09/03/2020;08/03/2020
0;Unknown;310;305;279;265;237;213;200;184;155;137;112;89;87;72;70;58;37;28;14;6;2;1;2
1;s-Gravenhage;182;176;161;124;103;81;63;53;47;44;36;27;21;17;14;10;9;8;7;7;3;2;2
2;'s-Hertogenbosch;150;131;117;108;87;75;67;60;55;45;38;35;30;24;20;14;14;11;8;5;4;3;2
3;Aa en Hunze;5;4;4;3;3;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;Aalsmeer;18;17;16;12;11;10;9;8;7;5;5;4;3;3;3;3;3;3;2;2;2;0;0
5;Aalten;5;5;3;3;2;2;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
6;Achtkarspelen;2;2;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;Alblasserdam;7;7;6;6;6;5;4;4;4;3;3;2;1;1;0;0;0;0;0;0;0;0;0
8;Albrandswaard;25;24;23;21;19;18;18;14;12;8;5;4;4;3;2;1;1;1;1;1;1;1;1
9;Alkmaar;49;45;42;36;29;24;20;16;15;11;10;9;5;2;2;1;1;1;1;1;1;0;0
10;Almelo;20;19;15;14;12;10;8;7;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1
11;Almere;60;57;48;39;32;28;21;18;14;11;5;5;4;3;3;2;2;1;1;1;1;1;1
12;Alphen aan den Rijn;44;41;35;32;30;22;20;17;17;15;13;10;9;6;6;6;6;4;3;2;1;1;1
13;Alphen-Chaam;26;24;21;19;19;16;15;14;9;7;6;6;6;3;2;1;1;0;0;0;0;0;0
14;Altena;44;41;41;39;35;35;28;25;23;22;19;19;15;12;12;10;9;8;5;4;4;4;4
15;Ameland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;Amersfoort;69;68;63;59;54;47;44;41;37;37;32;30;23;21;18;10;4;4;4;2;0;0;0
17;Amstelveen;81;75;63;52;46;35;33;29;27;26;22;13;7;6;4;3;3;3;2;2;2;2;1
18;Amsterdam;571;530;477;411;351;297;250;203;188;161;127;85;61;56;39;31;31;20;11;8;8;4;4
19;Apeldoorn;60;53;52;49;39;34;29;26;17;16;13;11;10;7;7;3;3;2;2;1;0;0;0
20;Appingedam;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;Arnhem;63;59;52;46;34;25;23;20;16;15;13;10;9;8;7;7;4;4;4;3;2;2;3
22;Assen;12;12;10;8;7;5;5;4;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0
23;Asten;17;15;10;8;6;6;6;5;5;5;2;2;2;2;1;1;0;0;0;0;0;0;0
24;Baarle-Nassau;3;3;2;2;2;2;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
25;Baarn;7;7;6;5;5;4;2;2;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0
26;Barendrecht;30;29;28;21;19;16;15;13;10;9;5;4;3;3;3;3;1;1;1;0;0;0;0
27;Barneveld;22;20;19;17;13;13;12;10;9;8;8;6;5;4;3;2;0;0;0;0;0;0;0
28;Beek;15;15;14;13;13;13;9;5;5;5;5;3;3;3;3;3;0;0;0;0;0;0;0
29;Beekdaelen;43;39;37;34;32;30;29;20;19;19;19;18;18;15;13;12;9;8;8;8;5;4;2
30;Beemster;6;4;4;4;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31;Beesel;15;15;13;11;8;7;6;5;5;3;1;0;0;0;0;0;0;0;0;0;0;0;0
32;Berg en Dal;69;64;53;44;43;37;35;33;30;25;20;18;14;14;10;6;6;5;3;3;1;0;0
33;Bergeijk;14;14;14;13;11;10;5;3;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
34;Bergen (L.);4;2;2;2;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
35;Bergen (NH.);23;22;20;16;14;12;12;9;8;6;4;4;1;1;1;1;1;0;0;0;0;0;0
36;Bergen op Zoom;17;17;17;15;13;12;12;12;10;9;8;6;5;5;4;4;1;1;1;1;1;1;1
37;Berkelland;5;5;2;2;2;2;2;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
38;Bernheze;117;104;95;87;83;69;67;62;57;41;37;30;26;20;19;16;15;13;4;2;2;2;1
39;Best;27;25;23;23;21;19;17;14;14;11;8;6;6;5;4;3;3;3;3;3;2;2;2
40;Beuningen;24;23;18;16;15;15;13;12;11;9;8;6;6;6;5;4;4;3;3;3;3;3;5
41;Beverwijk;22;20;17;13;12;11;11;7;7;6;6;6;6;6;5;5;5;5;5;4;4;4;4
42;Bladel;21;18;18;15;15;15;14;12;11;7;6;3;2;1;1;1;1;0;0;0;0;0;0
43;Blaricum;6;6;6;6;6;5;4;4;4;4;3;2;2;1;1;1;1;1;1;1;1;1;1
44;Bloemendaal;19;19;19;17;16;13;13;11;8;8;3;3;3;3;1;1;1;1;1;1;1;1;1
45;Bodegraven-Reeuwijk;12;11;10;9;8;5;5;5;5;3;1;1;1;1;1;1;1;1;1;0;0;0;0
46;Boekel;61;59;53;51;42;42;42;40;37;32;25;20;19;14;14;12;12;11;8;7;2;1;1
47;Borger-Odoorn;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;Borne;21;19;15;13;12;11;8;7;5;4;3;3;3;3;3;3;3;3;2;3;3;3;3
49;Borsele;7;7;7;7;6;5;4;3;3;3;3;3;2;2;2;1;1;1;1;1;0;0;0
50;Boxmeer;25;19;17;13;10;9;9;7;7;6;5;2;2;1;1;1;1;1;0;0;0;0;0
51;Boxtel;26;24;24;22;19;15;15;12;12;11;6;6;5;5;3;2;2;1;1;0;0;0;0
52;Breda;245;237;227;215;201;181;167;161;140;133;121;113;105;96;86;71;64;53;42;32;27;19;16
53;Brielle;11;11;10;5;2;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
54;Bronckhorst;11;11;9;8;8;7;7;6;6;6;5;3;2;2;2;2;2;2;2;2;2;2;2
55;Brummen;8;8;5;5;4;4;4;4;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
56;Brunssum;31;26;25;24;22;20;17;8;6;6;6;4;4;2;0;0;0;0;0;0;0;0;0
57;Bunnik;10;10;10;9;9;8;6;4;3;3;2;1;0;0;0;0;0;0;0;0;0;0;0
58;Bunschoten;6;4;4;3;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;Buren;9;8;7;7;7;7;6;5;5;5;5;5;4;4;4;2;2;2;1;0;0;0;0
60;Capelle aan den IJssel;44;42;41;31;26;23;13;7;7;3;3;2;1;1;0;0;0;0;0;0;0;0;0
61;Castricum;24;20;19;18;13;10;10;8;8;7;6;6;5;5;5;5;4;0;0;0;0;0;0
62;Coevorden;20;20;20;17;17;15;15;14;14;14;13;12;12;11;11;11;11;11;11;11;11;9;7
63;Cranendonck;58;55;42;42;31;25;23;19;13;11;8;6;6;5;2;2;2;2;1;1;0;0;0
64;Cuijk;14;10;10;8;8;8;6;5;4;4;4;4;2;2;2;2;2;2;1;1;0;0;0
65;Culemborg;20;18;16;14;14;8;8;5;5;5;4;4;4;4;2;2;2;2;1;1;1;1;1
66;Dalfsen;16;16;15;14;13;12;11;9;8;5;4;1;1;1;1;1;0;0;0;0;0;0;0
67;Dantumadiel;3;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
68;De Bilt;42;39;39;36;34;32;27;23;20;19;18;16;16;15;13;12;11;11;11;10;6;6;6
69;De Fryske Marren;22;21;17;12;12;9;8;8;8;8;6;5;5;3;3;3;2;2;1;0;0;0;0
70;De Ronde Venen;24;19;17;17;13;9;8;6;4;3;3;2;2;2;2;0;0;0;0;0;0;0;0
71;De Wolden;7;7;7;3;3;3;3;3;3;3;2;1;1;1;1;1;1;0;0;0;0;0;0
72;Delft;34;32;29;27;25;21;17;16;12;11;9;5;4;2;2;2;2;2;1;1;1;1;1
73;Delfzijl;7;7;7;4;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
74;Den Helder;11;11;9;9;6;5;5;4;3;3;2;2;1;1;1;1;1;1;1;1;0;0;0
75;Deurne;58;53;46;42;35;30;25;22;22;19;13;10;8;8;5;4;3;3;3;3;1;1;1
